Country Name,Date,Closure of Schools,Closure of workplaces,Cancellation of Public Events,Restrictions on Gathering,Closure of Public Transport,Quarantine Requirements,Restrictions on Internal Movement ,Restrictions on International Travel
Australia,20201030,1,0,0,0,0,0,0,1
Australia,20201105,1,0,0,0,0,0,0,1
Australia,20201108,1,0,0,0,0,1,0,1
Australia,20201114,1,0,0,0,0,1,0,1
Australia,20201122,1,0,0,0,0,1,0,1
Australia,20201201,0,0,0,0,0,1,0,1
Australia,20201207,0,0,0,0,0,1,0,1
Australia,20201210,0,0,0,0,0,1,0,1
Australia,20201219,0,0,0,0,0,0,1,1
Australia,20201220,0,0,0,0,0,0,1,1
Australia,20201223,0,0,0,0,0,0,1,1
Australia,20210101,0,0,0,0,0,0,1,1
Australia,20210102,0,0,0,0,0,0,1,1
Australia,20210104,0,0,0,0,0,0,1,1
Australia,20210105,0,0,0,0,0,0,1,1
Australia,20210107,0,0,0,0,0,0,1,1
Australia,20210108,0,0,0,0,0,0,1,1
Australia,20210109,0,0,0,0,0,0,1,1
Australia,20210110,0,0,0,0,0,0,1,1
Australia,20210111,0,0,1,0,0,0,1,1
Australia,20210112,0,0,1,0,0,0,1,1
Australia,20210113,0,0,1,0,0,0,1,1
Australia,20210114,0,0,1,0,0,0,1,1
Australia,20210116,0,0,1,0,0,0,1,1
Australia,20210117,0,0,1,0,0,0,1,1
Australia,20210118,0,0,1,0,0,0,1,1
Australia,20210119,0,0,1,0,0,0,1,1
Australia,20210122,0,0,1,0,0,0,1,1
Australia,20210125,0,0,1,0,0,0,1,1
Australia,20210126,0,0,1,0,0,0,1,1
Australia,20210127,0,0,1,0,0,0,1,1
Australia,20210131,0,0,0,0,0,0,1,1
Australia,20210201,0,0,0,0,0,0,1,1
Australia,20210202,0,0,0,0,0,0,1,1
Australia,20210203,0,0,0,0,0,0,1,1
Australia,20210204,0,0,0,0,0,0,1,1
Australia,20210205,0,0,1,0,0,0,1,1
Australia,20210206,0,0,1,0,0,0,1,1
Australia,20210208,0,0,1,0,0,0,1,1
Australia,20210209,0,0,1,0,0,0,1,1
Australia,20210211,0,0,1,0,0,0,1,1
Australia,20210212,0,0,0,0,0,0,1,1
Australia,20210215,0,0,0,0,0,0,1,1
Australia,20210216,0,0,0,0,0,0,0,1
Australia,20210218,0,0,0,0,0,0,0,1
Australia,20210220,0,0,0,0,0,0,0,1
Australia,20210221,0,0,0,0,0,0,0,1
Australia,20210223,0,0,0,0,0,0,0,1
Australia,20210225,0,0,0,0,0,0,0,1
Australia,20210227,0,0,0,0,0,0,0,1
Australia,20210301,0,0,0,0,0,0,0,1
Australia,20210308,0,0,0,0,0,0,0,1
Australia,20210309,0,0,0,0,0,0,0,1
Australia,20210311,0,0,0,0,0,0,0,1
Australia,20210314,0,0,0,0,0,0,0,1
Australia,20210315,0,0,0,0,0,0,0,1
Australia,20210317,0,0,0,0,0,0,0,1
Australia,20210319,0,0,0,0,0,0,0,1
Australia,20210322,0,0,0,0,0,0,0,1
Australia,20210325,0,0,0,0,0,0,0,1
